기준연월	업종분류	소비액	
201901	여행업	5.02E+08	
201901	운송업	1.33E+10	
201901	쇼핑업	4.42E+10	
201901	여가서비스업	8.99E+09	
201901	식음료업	5.90E+10	
201901	숙박업	1.62E+10	
201902	여가서비스업	9.15E+09	
201902	식음료업	5.19E+10	
201902	쇼핑업	4.11E+10	
201902	운송업	1.10E+10	
201902	여행업	4.27E+08	
201902	숙박업	1.44E+10	
201903	숙박업	1.54E+10	
201903	여행업	5.37E+08	
201903	운송업	1.20E+10	
201903	쇼핑업	4.65E+10	
201903	여가서비스업	1.26E+10	
201903	식음료업	5.95E+10	
201904	여행업	6.06E+08	
201904	식음료업	6.45E+10	
201904	여가서비스업	1.47E+10	
201904	운송업	1.26E+10	
201904	숙박업	1.73E+10	
201904	쇼핑업	5.11E+10	
201905	숙박업	1.91E+10	
201905	여행업	6.15E+08	
201905	운송업	1.27E+10	
201905	쇼핑업	5.14E+10	
201905	여가서비스업	1.66E+10	
201905	식음료업	6.54E+10	
201906	숙박업	1.89E+10	
201906	식음료업	6.74E+10	
201906	여가서비스업	1.52E+10	
201906	쇼핑업	4.91E+10	
201906	운송업	1.29E+10	
201906	여행업	6.72E+08	
201907	숙박업	2.22E+10	
201907	식음료업	6.97E+10	
201907	여가서비스업	1.36E+10	
201907	운송업	1.58E+10	
201907	여행업	9.98E+08	
201907	쇼핑업	4.59E+10	
201908	숙박업	2.76E+10	
201908	여행업	9.95E+08	
201908	운송업	1.51E+10	
201908	쇼핑업	4.88E+10	
201908	여가서비스업	1.57E+10	
201908	식음료업	8.17E+10	
201909	숙박업	1.69E+10	
201909	식음료업	6.06E+10	
201909	여가서비스업	1.34E+10	
201909	쇼핑업	4.51E+10	
201909	운송업	1.10E+10	
201909	여행업	5.54E+08	
201910	식음료업	6.55E+10	
201910	여행업	5.80E+08	
201910	여가서비스업	1.62E+10	
201910	쇼핑업	4.83E+10	
201910	운송업	1.21E+10	
201910	숙박업	1.85E+10	
201911	숙박업	1.59E+10	
201911	여행업	5.60E+08	
201911	운송업	1.10E+10	
201911	쇼핑업	4.87E+10	
201911	여가서비스업	1.53E+10	
201911	식음료업	6.06E+10	
201912	숙박업	1.81E+10	
201912	여행업	5.39E+08	
201912	운송업	1.28E+10	
201912	쇼핑업	4.55E+10	
201912	여가서비스업	1.20E+10	
201912	식음료업	6.18E+10	
