기준연월	업종분류	소비액	
202101	여행업	7.04E+07	
202101	쇼핑업	5.23E+10	
202101	여가서비스업	6.35E+10	
202101	식음료업	4.74E+10	
202101	운송업	7.17E+10	
202101	숙박업	5.25E+09	
202102	식음료업	4.94E+10	
202102	운송업	4.81E+10	
202102	여가서비스업	4.23E+10	
202102	쇼핑업	5.47E+10	
202102	여행업	6.21E+07	
202102	숙박업	4.53E+09	
202103	숙박업	3.69E+09	
202103	쇼핑업	6.04E+10	
202103	여가서비스업	4.34E+09	
202103	식음료업	8.40E+10	
202103	운송업	2.22E+09	
202103	여행업	3.13E+10	
202104	쇼핑업	5.85E+10	
202104	운송업	1.45E+08	
202104	식음료업	1.01E+11	
202104	여가서비스업	4.62E+10	
202104	숙박업	4.13E+09	
202104	여행업	2.72E+09	
202105	숙박업	5.17E+09	
202105	여행업	2.25E+07	
202105	쇼핑업	1.23E+11	
202105	여가서비스업	9.17E+09	
202105	식음료업	1.22E+11	
202105	운송업	2.19E+08	
202106	숙박업	4.57E+09	
202106	쇼핑업	5.61E+10	
202106	여가서비스업	6.43E+10	
202106	식음료업	5.40E+10	
202106	운송업	5.23E+10	
202106	여행업	1.81E+07	
202107	운송업	2.67E+09	
202107	여행업	1.10E+08	
202107	쇼핑업	1.17E+11	
202107	식음료업	1.05E+11	
202107	숙박업	2.41E+09	
202107	여가서비스업	8.62E+09	
202108	숙박업	5.31E+09	
202108	여행업	1.15E+07	
202108	운송업	5.14E+10	
202108	쇼핑업	5.44E+10	
202108	여가서비스업	6.82E+10	
202108	식음료업	4.94E+10	
202109	숙박업	5.06E+09	
202109	운송업	2.05E+08	
202109	식음료업	1.11E+11	
202109	여행업	3.82E+09	
202109	쇼핑업	1.16E+11	
202109	여가서비스업	5.06E+09	
202110	숙박업	3.68E+09	
202110	운송업	1.32E+08	
202110	식음료업	1.23E+11	
202110	여가서비스업	1.01E+10	
202110	쇼핑업	1.30E+11	
202110	여행업	2.97E+09	
202111	숙박업	6.32E+09	
202111	여행업	1.14E+07	
202111	쇼핑업	1.25E+11	
202111	여가서비스업	8.67E+09	
202111	식음료업	1.25E+11	
202111	운송업	2.30E+08	
202112	숙박업	5.50E+09	
202112	여행업	1.55E+07	
202112	쇼핑업	1.21E+11	
202112	여가서비스업	7.62E+09	
202112	식음료업	1.11E+11	
202112	운송업	1.89E+08	
