기준연월	업종분류	소비액	
202101	운송업	1.46E+08	
202101	쇼핑업	2.61E+10	
202101	여가서비스업	1.20E+10	
202101	식음료업	8.57E+10	
202101	여행업	2.29E+08	
202101	숙박업	2.76E+10	
202102	식음료업	8.13E+10	
202102	여행업	2.75E+08	
202102	여가서비스업	1.45E+10	
202102	쇼핑업	2.31E+10	
202102	운송업	1.33E+08	
202102	숙박업	2.29E+10	
202103	숙박업	1.45E+10	
202103	운송업	9.58E+07	
202103	쇼핑업	2.31E+10	
202103	여가서비스업	2.18E+10	
202103	식음료업	7.32E+10	
202103	여행업	1.95E+08	
202104	운송업	1.55E+08	
202104	여행업	1.55E+08	
202104	식음료업	8.64E+10	
202104	쇼핑업	2.58E+10	
202104	숙박업	1.74E+10	
202104	여가서비스업	3.06E+10	
202105	숙박업	2.44E+10	
202105	운송업	2.07E+08	
202105	쇼핑업	1.51E+10	
202105	여가서비스업	3.76E+10	
202105	식음료업	7.12E+10	
202105	여행업	5.69E+10	
202106	숙박업	2.56E+10	
202106	여행업	2.65E+08	
202106	식음료업	1.08E+11	
202106	여가서비스업	3.76E+10	
202106	쇼핑업	2.68E+10	
202106	운송업	1.62E+08	
202107	숙박업	3.53E+10	
202107	여행업	6.36E+10	
202107	식음료업	7.85E+10	
202107	쇼핑업	1.38E+10	
202107	운송업	1.87E+08	
202107	여가서비스업	3.43E+10	
202108	숙박업	4.59E+10	
202108	운송업	1.94E+08	
202108	쇼핑업	2.73E+10	
202108	여가서비스업	3.81E+10	
202108	식음료업	1.45E+11	
202108	여행업	4.01E+08	
202109	숙박업	2.29E+10	
202109	여행업	2.95E+08	
202109	식음료업	9.47E+10	
202109	여가서비스업	3.50E+10	
202109	쇼핑업	2.76E+10	
202109	운송업	1.21E+08	
202110	여행업	6.03E+10	
202110	운송업	3.85E+08	
202110	식음료업	8.14E+10	
202110	여가서비스업	3.79E+10	
202110	쇼핑업	1.58E+10	
202110	숙박업	3.03E+10	
202111	숙박업	2.26E+10	
202111	운송업	1.74E+08	
202111	쇼핑업	2.78E+10	
202111	여가서비스업	3.07E+10	
202111	식음료업	9.80E+10	
202111	여행업	3.39E+08	
202112	숙박업	2.43E+10	
202112	운송업	7.37E+07	
202112	쇼핑업	2.60E+10	
202112	여가서비스업	1.48E+10	
202112	식음료업	8.09E+10	
202112	여행업	2.11E+08	
