기준연월	업종분류	소비액	
202101	여행업	2.87E+08	
202101	운송업	2.05E+10	
202101	쇼핑업	4.76E+11	
202101	여가서비스업	5.31E+10	
202101	식음료업	5.92E+11	
202101	숙박업	2.49E+10	
202102	식음료업	2.87E+11	
202102	여행업	2.99E+11	
202102	여가서비스업	2.23E+11	
202102	쇼핑업	2.51E+11	
202102	운송업	7.30E+09	
202102	숙박업	2.25E+10	
202103	숙박업	2.28E+10	
202103	운송업	8.16E+09	
202103	쇼핑업	2.73E+11	
202103	여가서비스업	2.68E+11	
202103	식음료업	3.61E+11	
202103	여행업	2.99E+11	
202104	운송업	8.39E+09	
202104	여행업	3.37E+11	
202104	식음료업	3.84E+11	
202104	쇼핑업	2.68E+11	
202104	숙박업	2.33E+10	
202104	여가서비스업	3.19E+11	
202105	숙박업	2.61E+10	
202105	운송업	8.69E+09	
202105	쇼핑업	2.99E+11	
202105	여가서비스업	3.78E+11	
202105	식음료업	4.25E+11	
202105	여행업	3.88E+11	
202106	숙박업	2.48E+10	
202106	여행업	3.53E+11	
202106	식음료업	3.98E+11	
202106	여가서비스업	3.34E+11	
202106	쇼핑업	2.56E+11	
202106	운송업	8.68E+09	
202107	숙박업	2.64E+10	
202107	여행업	3.84E+11	
202107	식음료업	3.74E+11	
202107	쇼핑업	2.48E+11	
202107	운송업	8.36E+09	
202107	여가서비스업	3.11E+11	
202108	숙박업	2.72E+10	
202108	운송업	1.65E+10	
202108	쇼핑업	4.66E+11	
202108	여가서비스업	1.33E+11	
202108	식음료업	6.44E+11	
202108	여행업	2.08E+08	
202109	숙박업	2.25E+10	
202109	여행업	2.89E+11	
202109	식음료업	3.71E+11	
202109	여가서비스업	3.32E+11	
202109	쇼핑업	2.84E+11	
202109	운송업	8.82E+09	
202110	여행업	3.58E+11	
202110	운송업	9.61E+09	
202110	식음료업	4.32E+11	
202110	여가서비스업	3.92E+11	
202110	쇼핑업	3.39E+11	
202110	숙박업	2.68E+10	
202111	숙박업	2.62E+10	
202111	운송업	9.49E+09	
202111	쇼핑업	3.01E+11	
202111	여가서비스업	3.50E+11	
202111	식음료업	4.14E+11	
202111	여행업	3.15E+11	
202112	숙박업	2.38E+10	
202112	운송업	9.33E+09	
202112	쇼핑업	2.90E+11	
202112	여가서비스업	2.76E+11	
202112	식음료업	3.49E+11	
202112	여행업	2.28E+11	
