기준연월	업종분류	소비액	
201901	운송업	4.65E+09	
201901	쇼핑업	1.54E+11	
201901	여가서비스업	1.16E+10	
201901	식음료업	1.76E+11	
201901	여행업	9.39E+07	
201901	숙박업	1.03E+10	
201902	식음료업	1.61E+11	
201902	여행업	9.38E+07	
201902	여가서비스업	1.25E+10	
201902	쇼핑업	1.49E+11	
201902	운송업	4.06E+09	
201902	숙박업	9.88E+09	
201903	숙박업	1.08E+10	
201903	운송업	4.92E+09	
201903	쇼핑업	1.62E+11	
201903	여가서비스업	1.74E+10	
201903	식음료업	1.87E+11	
201903	여행업	1.28E+08	
201904	운송업	5.29E+09	
201904	여행업	1.09E+08	
201904	식음료업	1.78E+11	
201904	쇼핑업	1.53E+11	
201904	숙박업	1.00E+10	
201904	여가서비스업	1.79E+10	
201905	숙박업	1.11E+10	
201905	운송업	6.12E+09	
201905	쇼핑업	1.65E+11	
201905	여가서비스업	2.01E+10	
201905	식음료업	1.94E+11	
201905	여행업	1.12E+08	
201906	숙박업	1.13E+10	
201906	여행업	1.16E+08	
201906	식음료업	1.82E+11	
201906	여가서비스업	2.04E+10	
201906	쇼핑업	1.57E+11	
201906	운송업	5.65E+09	
201907	숙박업	1.20E+10	
201907	식음료업	1.80E+11	
201907	여가서비스업	1.90E+10	
201907	운송업	5.39E+09	
201907	여행업	1.42E+08	
201907	쇼핑업	1.54E+11	
201908	숙박업	1.44E+10	
201908	여행업	1.50E+08	
201908	운송업	5.94E+09	
201908	쇼핑업	1.49E+11	
201908	여가서비스업	1.97E+10	
201908	식음료업	1.87E+11	
201909	숙박업	1.13E+10	
201909	식음료업	1.71E+11	
201909	여가서비스업	1.87E+10	
201909	쇼핑업	1.61E+11	
201909	운송업	4.95E+09	
201909	여행업	1.16E+08	
201910	여행업	9.19E+10	
201910	운송업	2.79E+09	
201910	식음료업	9.36E+10	
201910	여가서비스업	9.42E+10	
201910	쇼핑업	7.80E+10	
201910	숙박업	1.10E+10	
201911	숙박업	1.09E+10	
201911	운송업	5.20E+09	
201911	쇼핑업	1.59E+11	
201911	여가서비스업	1.57E+10	
201911	식음료업	1.68E+11	
201911	여행업	1.35E+08	
201912	숙박업	1.35E+10	
201912	운송업	4.80E+09	
201912	쇼핑업	1.64E+11	
201912	여가서비스업	1.20E+10	
201912	식음료업	1.92E+11	
201912	여행업	8.57E+07	
