시도명,코로나 전,코로나 후
세종특별자치시,48394991,49361588
울산광역시,95295889,86517229
제주특별자치도,113798723,106165266
광주광역시,129876091,113010123
대전광역시,166213950,138746454
전라북도,182880368,167238539
대구광역시,212604652,174120488
충청북도,208304145,189753363
전라남도,232481579,225640974
부산광역시,304585047,249749924
강원도,280831756,261617753
인천광역시,345611303,273796239
경상남도,301785781,280419083
충청남도,305385906,281508931
경상북도,340708637,314448549
서울특별시,1282522168,973527075
경기도,1256008851,1103294662
